********** start time is =  21:37:32
Time to load and rescale data: 0.014 sec
Trained cv individual 37 in cv_predict: 0.005 sec.
Trained cv individual 38 in cv_predict: 0.005 sec.
Trained cv individual 39 in cv_predict: 0.005 sec.
Trained cv individual 40 in cv_predict: 0.005 sec.
Trained cv individual 41 in cv_predict: 0.005 sec.
Trained cv individual 42 in cv_predict: 0.005 sec.
Trained cv individual 43 in cv_predict: 0.005 sec.
Trained cv individual 44 in cv_predict: 0.005 sec.
Trained cv individual 45 in cv_predict: 0.005 sec.
Trained cv individual 46 in cv_predict: 0.006 sec.
Trained cv individual 47 in cv_predict: 0.005 sec.
Trained cv individual 48 in cv_predict: 0.005 sec.
Trained cv individual 49 in cv_predict: 0.005 sec.
Trained cv individual 50 in cv_predict: 0.005 sec.
Trained cv individual 51 in cv_predict: 0.005 sec.
Trained cv individual 52 in cv_predict: 0.005 sec.
Trained cv individual 53 in cv_predict: 0.005 sec.
Trained cv individual 54 in cv_predict: 0.005 sec.
Trained cv individual 55 in cv_predict: 0.005 sec.
Trained cv individual 56 in cv_predict: 0.005 sec.
Trained cv individual 57 in cv_predict: 0.005 sec.
Trained cv individual 58 in cv_predict: 0.005 sec.
Trained cv individual 59 in cv_predict: 0.005 sec.
Trained cv individual 60 in cv_predict: 0.005 sec.
Trained cv individual 61 in cv_predict: 0.005 sec.
Trained cv individual 62 in cv_predict: 0.005 sec.
Time to predict cross validate for 4: 0.311741008119 sec
Trained and found results for population 62: 0.492560797442
Trained model for population 5 in 0.211608297493 sec
Models to train: 63
Trained cv individual 0 in cv_predict: 0.005 sec.
Trained cv individual 1 in cv_predict: 0.005 sec.
Trained cv individual 2 in cv_predict: 0.005 sec.
Trained cv individual 3 in cv_predict: 0.006 sec.
Trained cv individual 4 in cv_predict: 0.006 sec.
Trained cv individual 5 in cv_predict: 0.005 sec.
Trained cv individual 6 in cv_predict: 0.005 sec.
Trained cv individual 7 in cv_predict: 0.007 sec.
Trained cv individual 8 in cv_predict: 0.006 sec.
Trained cv individual 9 in cv_predict: 0.005 sec.
Trained cv individual 10 in cv_predict: 0.005 sec.
Trained cv individual 11 in cv_predict: 0.005 sec.
Trained cv individual 12 in cv_predict: 0.006 sec.
Trained cv individual 13 in cv_predict: 0.005 sec.
Trained cv individual 14 in cv_predict: 0.005 sec.
Trained cv individual 15 in cv_predict: 0.005 sec.
Trained cv individual 16 in cv_predict: 0.007 sec.
Trained cv individual 17 in cv_predict: 0.005 sec.
Trained cv individual 18 in cv_predict: 0.005 sec.
Trained cv individual 19 in cv_predict: 0.007 sec.
Trained cv individual 20 in cv_predict: 0.006 sec.
Trained cv individual 21 in cv_predict: 0.006 sec.
Trained cv individual 22 in cv_predict: 0.005 sec.
Trained cv individual 23 in cv_predict: 0.007 sec.
Trained cv individual 24 in cv_predict: 0.007 sec.
Trained cv individual 25 in cv_predict: 0.005 sec.
Trained cv individual 26 in cv_predict: 0.005 sec.
Trained cv individual 27 in cv_predict: 0.005 sec.
Trained cv individual 28 in cv_predict: 0.006 sec.
Trained cv individual 29 in cv_predict: 0.005 sec.
Trained cv individual 30 in cv_predict: 0.005 sec.
Trained cv individual 31 in cv_predict: 0.005 sec.
Trained cv individual 32 in cv_predict: 0.005 sec.
Trained cv individual 33 in cv_predict: 0.005 sec.
Trained cv individual 34 in cv_predict: 0.005 sec.
Trained cv individual 35 in cv_predict: 0.005 sec.
Trained cv individual 36 in cv_predict: 0.007 sec.
Trained cv individual 37 in cv_predict: 0.006 sec.
Trained cv individual 38 in cv_predict: 0.005 sec.
Trained cv individual 39 in cv_predict: 0.005 sec.
Trained cv individual 40 in cv_predict: 0.005 sec.
Trained cv individual 41 in cv_predict: 0.006 sec.
Trained cv individual 42 in cv_predict: 0.005 sec.
Trained cv individual 43 in cv_predict: 0.005 sec.
Trained cv individual 44 in cv_predict: 0.005 sec.
Trained cv individual 45 in cv_predict: 0.006 sec.
Trained cv individual 46 in cv_predict: 0.005 sec.
Trained cv individual 47 in cv_predict: 0.006 sec.
Trained cv individual 48 in cv_predict: 0.006 sec.
Trained cv individual 49 in cv_predict: 0.005 sec.
Trained cv individual 50 in cv_predict: 0.006 sec.
Trained cv individual 51 in cv_predict: 0.005 sec.
Trained cv individual 52 in cv_predict: 0.006 sec.
Trained cv individual 53 in cv_predict: 0.006 sec.
Trained cv individual 54 in cv_predict: 0.007 sec.
Trained cv individual 55 in cv_predict: 0.005 sec.
Trained cv individual 56 in cv_predict: 0.005 sec.
Trained cv individual 57 in cv_predict: 0.007 sec.
Trained cv individual 58 in cv_predict: 0.005 sec.
Trained cv individual 59 in cv_predict: 0.005 sec.
Trained cv individual 60 in cv_predict: 0.007 sec.
Trained cv individual 61 in cv_predict: 0.006 sec.
Trained cv individual 62 in cv_predict: 0.005 sec.
Time to predict cross validate for 5: 0.350841110485 sec
Trained and found results for population 62: 0.567673940613
Trained model for population 6 in 0.201748710154 sec
Models to train: 63
Trained cv individual 0 in cv_predict: 0.008 sec.
Trained cv individual 1 in cv_predict: 0.005 sec.
Trained cv individual 2 in cv_predict: 0.005 sec.
Trained cv individual 3 in cv_predict: 0.007 sec.
Trained cv individual 4 in cv_predict: 0.006 sec.
Trained cv individual 5 in cv_predict: 0.007 sec.
Trained cv individual 6 in cv_predict: 0.007 sec.
Trained cv individual 7 in cv_predict: 0.005 sec.
Trained cv individual 8 in cv_predict: 0.005 sec.
Trained cv individual 9 in cv_predict: 0.006 sec.
Trained cv individual 10 in cv_predict: 0.005 sec.
Trained cv individual 11 in cv_predict: 0.007 sec.
Trained cv individual 12 in cv_predict: 0.005 sec.
Trained cv individual 13 in cv_predict: 0.005 sec.
Trained cv individual 14 in cv_predict: 0.005 sec.
Trained cv individual 15 in cv_predict: 0.005 sec.
Trained cv individual 16 in cv_predict: 0.005 sec.
Trained cv individual 17 in cv_predict: 0.005 sec.
Trained cv individual 18 in cv_predict: 0.006 sec.
Trained cv individual 19 in cv_predict: 0.006 sec.
Trained cv individual 20 in cv_predict: 0.005 sec.
Trained cv individual 21 in cv_predict: 0.005 sec.
Trained cv individual 22 in cv_predict: 0.005 sec.
Trained cv individual 23 in cv_predict: 0.005 sec.
Trained cv individual 24 in cv_predict: 0.005 sec.
Trained cv individual 25 in cv_predict: 0.005 sec.
Trained cv individual 26 in cv_predict: 0.005 sec.
Trained cv individual 27 in cv_predict: 0.005 sec.
Trained cv individual 28 in cv_predict: 0.006 sec.
Trained cv individual 29 in cv_predict: 0.005 sec.
Trained cv individual 30 in cv_predict: 0.005 sec.
Trained cv individual 31 in cv_predict: 0.005 sec.
Trained cv individual 32 in cv_predict: 0.005 sec.
Trained cv individual 33 in cv_predict: 0.005 sec.
Trained cv individual 34 in cv_predict: 0.005 sec.
Trained cv individual 35 in cv_predict: 0.005 sec.
Trained cv individual 36 in cv_predict: 0.005 sec.
Trained cv individual 37 in cv_predict: 0.005 sec.
Trained cv individual 38 in cv_predict: 0.005 sec.
Trained cv individual 39 in cv_predict: 0.005 sec.
Trained cv individual 40 in cv_predict: 0.005 sec.
Trained cv individual 41 in cv_predict: 0.005 sec.
Trained cv individual 42 in cv_predict: 0.005 sec.
Trained cv individual 43 in cv_predict: 0.005 sec.
Trained cv individual 44 in cv_predict: 0.005 sec.
Trained cv individual 45 in cv_predict: 0.005 sec.
Trained cv individual 46 in cv_predict: 0.005 sec.
Trained cv individual 47 in cv_predict: 0.005 sec.
Trained cv individual 48 in cv_predict: 0.005 sec.
Trained cv individual 49 in cv_predict: 0.005 sec.
Trained cv individual 50 in cv_predict: 0.005 sec.
Trained cv individual 51 in cv_predict: 0.005 sec.
Trained cv individual 52 in cv_predict: 0.005 sec.
Trained cv individual 53 in cv_predict: 0.005 sec.
Trained cv individual 54 in cv_predict: 0.005 sec.
Trained cv individual 55 in cv_predict: 0.005 sec.
Trained cv individual 56 in cv_predict: 0.005 sec.
Trained cv individual 57 in cv_predict: 0.005 sec.
Trained cv individual 58 in cv_predict: 0.006 sec.
Trained cv individual 59 in cv_predict: 0.005 sec.
Trained cv individual 60 in cv_predict: 0.005 sec.
Trained cv individual 61 in cv_predict: 0.005 sec.
Trained cv individual 62 in cv_predict: 0.005 sec.
Time to predict cross validate for 6: 0.327954105506 sec
Trained and found results for population 62: 0.534609181933
Trained model for population 7 in 0.174000854988 sec
Models to train: 63
Trained cv individual 0 in cv_predict: 0.005 sec.
Trained cv individual 1 in cv_predict: 0.005 sec.
Trained cv individual 2 in cv_predict: 0.005 sec.
Trained cv individual 3 in cv_predict: 0.005 sec.
Trained cv individual 4 in cv_predict: 0.005 sec.
Trained cv individual 5 in cv_predict: 0.005 sec.
Trained cv individual 6 in cv_predict: 0.005 sec.
Trained cv individual 7 in cv_predict: 0.005 sec.
Trained cv individual 8 in cv_predict: 0.005 sec.
Trained cv individual 9 in cv_predict: 0.005 sec.
Trained cv individual 10 in cv_predict: 0.005 sec.
Trained cv individual 11 in cv_predict: 0.005 sec.
Trained cv individual 12 in cv_predict: 0.005 sec.
Trained cv individual 13 in cv_predict: 0.005 sec.
Trained cv individual 14 in cv_predict: 0.005 sec.
Trained cv individual 15 in cv_predict: 0.005 sec.
Trained cv individual 16 in cv_predict: 0.005 sec.
Trained cv individual 17 in cv_predict: 0.005 sec.
Trained cv individual 18 in cv_predict: 0.005 sec.
Trained cv individual 19 in cv_predict: 0.005 sec.
Trained cv individual 20 in cv_predict: 0.005 sec.
Trained cv individual 21 in cv_predict: 0.005 sec.
Trained cv individual 22 in cv_predict: 0.005 sec.
Trained cv individual 23 in cv_predict: 0.005 sec.
Trained cv individual 24 in cv_predict: 0.005 sec.
Trained cv individual 25 in cv_predict: 0.005 sec.
Trained cv individual 26 in cv_predict: 0.005 sec.
Trained cv individual 27 in cv_predict: 0.005 sec.
Trained cv individual 28 in cv_predict: 0.005 sec.
Trained cv individual 29 in cv_predict: 0.005 sec.
Trained cv individual 30 in cv_predict: 0.005 sec.
Trained cv individual 31 in cv_predict: 0.005 sec.
Trained cv individual 32 in cv_predict: 0.005 sec.
Trained cv individual 33 in cv_predict: 0.005 sec.
Trained cv individual 34 in cv_predict: 0.005 sec.
Trained cv individual 35 in cv_predict: 0.005 sec.
Trained cv individual 36 in cv_predict: 0.005 sec.
Trained cv individual 37 in cv_predict: 0.004 sec.
Trained cv individual 38 in cv_predict: 0.005 sec.
Trained cv individual 39 in cv_predict: 0.005 sec.
Trained cv individual 40 in cv_predict: 0.005 sec.
Trained cv individual 41 in cv_predict: 0.005 sec.
Trained cv individual 42 in cv_predict: 0.005 sec.
Trained cv individual 43 in cv_predict: 0.005 sec.
Trained cv individual 44 in cv_predict: 0.005 sec.
Trained cv individual 45 in cv_predict: 0.005 sec.
Trained cv individual 46 in cv_predict: 0.005 sec.
Trained cv individual 47 in cv_predict: 0.005 sec.
Trained cv individual 48 in cv_predict: 0.005 sec.
Trained cv individual 49 in cv_predict: 0.005 sec.
Trained cv individual 50 in cv_predict: 0.006 sec.
Trained cv individual 51 in cv_predict: 0.005 sec.
Trained cv individual 52 in cv_predict: 0.005 sec.
Trained cv individual 53 in cv_predict: 0.005 sec.
Trained cv individual 54 in cv_predict: 0.005 sec.
Trained cv individual 55 in cv_predict: 0.005 sec.
Trained cv individual 56 in cv_predict: 0.005 sec.
Trained cv individual 57 in cv_predict: 0.005 sec.
Trained cv individual 58 in cv_predict: 0.005 sec.
Trained cv individual 59 in cv_predict: 0.005 sec.
Trained cv individual 60 in cv_predict: 0.005 sec.
Trained cv individual 61 in cv_predict: 0.005 sec.
Trained cv individual 62 in cv_predict: 0.005 sec.
Time to predict cross validate for 7: 0.307932828968 sec
Trained and found results for population 62: 0.486283147535
Trained model for population 8 in 0.174706354313 sec
Models to train: 63
Trained cv individual 0 in cv_predict: 0.005 sec.
Trained cv individual 1 in cv_predict: 0.005 sec.
Trained cv individual 2 in cv_predict: 0.005 sec.
Trained cv individual 3 in cv_predict: 0.005 sec.
Trained cv individual 4 in cv_predict: 0.005 sec.
Trained cv individual 5 in cv_predict: 0.005 sec.
Trained cv individual 6 in cv_predict: 0.005 sec.
Trained cv individual 7 in cv_predict: 0.005 sec.
